band,region,n_paired,mean_low,mean_high,mean_diff,median_diff,n_positive,n_negative,pct_positive,statistic,p_value,p_fdr,significant,note
delta,Motor Cortex,28,,,,,11,16,39.285714285714285,,,,False,
delta,Lateral PFC,57,,,,,21,34,36.8421052631579,,,,False,
delta,OFC,49,,,,,17,30,34.69387755102041,,,,False,
delta,ACC,26,,,,,7,18,26.923076923076923,,,,False,
delta,PCC,37,,,,,14,22,37.83783783783784,,,,False,
delta,Lateral Temporal,62,,,,,29,31,46.774193548387096,,,,False,
delta,Ventral Temporal,37,,,,,19,17,51.351351351351354,,,,False,
delta,Parietal,59,,,,,26,31,44.067796610169495,,,,False,
delta,Insula,61,,,,,20,39,32.78688524590164,,,,False,
delta,Occipital,15,-10.489799,-10.504172,-0.014373779,-0.012301445,7,8,46.666666666666664,47.0,0.48870849609375,0.7142662635216346,False,
delta,Hippocampus,56,,,,,21,33,37.5,,,,False,
delta,Amygdala,40,,,,,17,22,42.5,,,,False,
delta,Striatum,47,,,,,16,29,34.04255319148936,,,,False,
delta,Pallidum,31,,,,,12,18,38.70967741935484,,,,False,
delta,Thalamus,48,,,,,17,29,35.416666666666664,,,,False,
theta,Motor Cortex,28,-11.46051,-11.344873,0.11563693,0.0062031746,14,14,50.0,154.0,0.27407141774892807,0.5485822434129659,False,
theta,Lateral PFC,57,-11.312508,-11.271626,0.040880304,-0.0060043335,25,32,43.85964912280702,798.0,0.8208604408020059,0.9197689636820412,False,
theta,OFC,49,-11.299791,-11.266487,0.03330425,0.003985405,25,24,51.02040816326531,608.0,0.9685506468532239,0.9685506468532239,False,
theta,ACC,26,-11.604113,-11.630225,-0.026113473,-0.03664112,10,16,38.46153846153846,128.0,0.2369500696659088,0.5002279248502519,False,
theta,PCC,37,-11.170138,-11.171539,-0.0014020817,-0.02790165,18,19,48.648648648648646,301.0,0.45513832481810823,0.7000643180834584,False,
theta,Lateral Temporal,62,-11.221571,-11.168907,0.0526642,0.015653133,36,26,58.064516129032256,795.0,0.20319205622070058,0.44121703636494986,False,
theta,Ventral Temporal,37,-11.109642,-11.0479145,0.06172809,0.010632515,26,11,70.27027027027027,231.0,0.06991694912721869,0.18977457620245072,False,
theta,Parietal,59,-11.336277,-11.267323,0.068953626,0.03474331,36,23,61.016949152542374,650.0,0.07610048181761855,0.1961197664340337,False,
theta,Insula,61,-11.527773,-11.506615,0.021158343,-0.018330574,22,39,36.0655737704918,736.0,0.1323776890514328,0.31439701149715293,False,
theta,Occipital,15,-11.064466,-11.039307,0.025159454,0.010983467,8,7,53.333333333333336,56.0,0.846923828125,0.9197689636820412,False,
theta,Hippocampus,56,-10.691661,-10.685887,0.0057755196,-0.035459995,22,34,39.285714285714285,611.0,0.12716564317029294,0.3117609316432988,False,
theta,Amygdala,40,-11.300357,-11.2732525,0.027103806,-0.017522812,18,22,45.0,350.0,0.42797189528209856,0.7000643180834584,False,
theta,Striatum,47,-12.302868,-12.285986,0.016882693,0.0016555786,25,22,53.191489361702125,557.0,0.9456817019458015,0.9582907913050789,False,
theta,Pallidum,31,-12.646474,-12.615864,0.030609561,0.0045366287,19,12,61.29032258064516,195.0,0.3081742124632001,0.571249759687883,False,
theta,Thalamus,48,-12.526611,-12.55957,-0.032958686,-0.035994053,20,28,41.666666666666664,382.0,0.034205064013136166,0.11816294840901584,False,
alpha,Motor Cortex,28,-11.692056,-11.539161,0.1528944,0.041880608,21,7,75.0,80.0,0.004060737788677216,0.020972682038942973,True,
alpha,Lateral PFC,57,-11.689735,-11.627995,0.061740357,0.0058984756,30,27,52.63157894736842,693.0,0.288832951854873,0.5628539574607782,False,
alpha,OFC,49,-11.729471,-11.689584,0.03988776,-0.009357452,23,26,46.93877551020408,604.0,0.9371492513747022,0.9582907913050789,False,
alpha,ACC,26,-11.990255,-12.003612,-0.013354668,-0.0063028336,12,14,46.15384615384615,148.0,0.49919503927230835,0.7158268487678384,False,
alpha,PCC,37,-11.460225,-11.433961,0.026265273,0.011689186,19,18,51.351351351351354,293.0,0.3859146132308524,0.6820816419894136,False,
alpha,Lateral Temporal,62,-11.51996,-11.42864,0.09132093,0.053334236,47,15,75.80645161290323,466.0,0.0003447098662783532,0.0029108833152394274,True,
alpha,Ventral Temporal,37,-11.518465,-11.432577,0.0858877,0.042819977,27,10,72.97297297297297,148.0,0.0016086057148640975,0.01051689236073609,True,
alpha,Parietal,59,-11.540914,-11.429812,0.11109858,0.058045387,42,17,71.1864406779661,340.0,3.8945699831182846e-05,0.0007399682967924741,True,
alpha,Insula,61,-11.897445,-11.843452,0.053991646,0.004837036,34,27,55.73770491803279,846.0,0.4748029797622936,0.7075495384693002,False,
alpha,Occipital,15,-11.31047,-11.193457,0.117012784,0.071805,13,2,86.66666666666667,14.0,0.0067138671875,0.031890869140625,True,
alpha,Hippocampus,56,-11.128279,-11.097432,0.0308475,-0.013642311,23,33,41.07142857142857,745.0,0.6655048743854534,0.8291536139884337,False,
alpha,Amygdala,40,-11.816547,-11.776567,0.03998039,-0.008306026,18,22,45.0,395.0,0.8471556244439853,0.9197689636820412,False,
alpha,Striatum,47,-12.716739,-12.674643,0.042095914,0.018154144,30,17,63.829787234042556,381.0,0.05288046731652685,0.16745481316900168,False,
alpha,Pallidum,31,-13.112169,-13.049561,0.06260758,0.028383255,19,12,61.29032258064516,150.0,0.055239553563296795,0.16792824283242225,False,
alpha,Thalamus,48,-12.933314,-12.921002,0.012312074,-0.014143944,23,25,47.916666666666664,515.0,0.4605686303180647,0.7000643180834584,False,
beta,Motor Cortex,28,-12.106433,-11.958766,0.14766921,0.04071474,22,6,78.57142857142857,52.0,0.00027351081371307373,0.0025983527302742004,True,
beta,Lateral PFC,57,-12.06182,-11.941545,0.12027605,0.072995186,47,10,82.45614035087719,167.0,1.6069434133490493e-07,4.070923313817592e-06,True,
beta,OFC,49,-12.258845,-12.191633,0.067212336,0.03237343,31,18,63.265306122448976,349.0,0.008066027261008912,0.036059886578628075,True,
beta,ACC,26,-12.626038,-12.592811,0.033226784,0.028215408,19,7,73.07692307692308,91.0,0.031220704317092896,0.11298921562376475,False,
beta,PCC,37,-11.984087,-11.940793,0.04329287,0.034869194,25,12,67.56756756756756,206.0,0.027497459872392938,0.10998983948957175,False,
beta,Lateral Temporal,62,-12.2802305,-12.199843,0.08038544,0.04532528,45,17,72.58064516129032,455.0,0.00025590720301653424,0.0025983527302742004,True,
beta,Ventral Temporal,37,-12.243495,-12.173495,0.0699981,0.023302078,20,17,54.054054054054056,227.0,0.06084334148908965,0.17704879595419032,False,
beta,Parietal,59,-12.133556,-12.019995,0.113561615,0.057429314,50,9,84.7457627118644,169.0,6.504353865880443e-08,2.4716544690345686e-06,True,
beta,Insula,61,-12.468559,-12.397883,0.070676066,0.018917084,41,20,67.21311475409836,484.0,0.0009169199400272021,0.006968591544206737,True,
beta,Occipital,15,-12.017933,-11.943052,0.07488098,0.05507183,12,3,80.0,22.0,0.0301513671875,0.11298921562376475,False,
beta,Hippocampus,56,-11.704537,-11.661292,0.04324547,0.009584427,31,25,55.357142857142854,705.0,0.4480865755685913,0.7000643180834584,False,
beta,Amygdala,40,-12.483082,-12.4436035,0.039477468,0.00790596,22,18,55.0,363.0,0.5359713830403052,0.7406150020193308,False,
beta,Striatum,47,-13.06012,-12.950528,0.10959424,0.08724117,39,8,82.97872340425532,96.0,4.976261891442846e-08,2.4716544690345686e-06,True,
beta,Pallidum,31,-13.69215,-13.604414,0.08773499,0.048322678,24,7,77.41935483870968,65.0,0.0001450907438993454,0.00220537930727005,True,
